href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-9-6-moi-nhat-2022.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.9.6 mới nhất 2022,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-48-49,HTKK 4.8–4.9,htkk-48-49,HTKK 4.8–4.9,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-9-7-moi-nhat-2022.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.9.7 mới nhất 2022,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-48-49,HTKK 4.8–4.9,htkk-48-49,HTKK 4.8–4.9,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-9-8-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.9.8 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-48-49,HTKK 4.8–4.9,htkk-48-49,HTKK 4.8–4.9,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-9-9-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.9.9 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-48-49,HTKK 4.8–4.9,htkk-48-49,HTKK 4.8–4.9,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-5-0-8-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 5.0.8 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-5x,HTKK 5.x,htkk-5x,HTKK 5.x,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-5-0-9-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 5.0.9 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-5x,HTKK 5.x,htkk-5x,HTKK 5.x,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-5-1-0-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 5.1.0 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-5x,HTKK 5.x,htkk-5x,HTKK 5.x,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-5-1-1-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 5.1.1 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-5x,HTKK 5.x,htkk-5x,HTKK 5.x,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-5-1-2-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 5.1.2 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-5x,HTKK 5.x,htkk-5x,HTKK 5.x,ok
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-5-1-3-moi-nhat-2023.html,Phần mềm hỗ trợ kê khai thuế HTKK 5.1.3 mới nhất 2023,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-5x,HTKK 5.x,htkk-5x,HTKK 5.x,ok
