href,title,libraryKindLabel,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,target_topicLv1Key,target_topicLv1Label
thu-vien/bang-dang-ky-phuong-phap-trich-khau-hao-tai-san-co-dinh-theo-tt-45.html,Mẫu đăng ký phương pháp trích khấu hao TSCĐ 2026 mới nhất,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/bang-ke-chi-tiet-ca-nhan-kinh-doanh-mau-01-1-bk-cnkd.html,Mẫu 01-1/BK-CNKD Bảng kê hộ kinh doanh theo Thông tư 40,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/giay-de-nghi-cong-bo-noi-dung-dang-ky-doanh-nghiep.html,Giấy đề nghị công bố nội dung đăng ký doanh nghiệp,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/giay-de-nghi-dang-ky-cong-ty-trach-nhiem-huu-han-mot-thanh-vien.html,Giấy đề nghị đăng ký công ty trách nhiệm hữu hạn một thành viên,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/giay-de-nghi-dang-ky-tam-ngung-kinh-doanh-cua-ho-kinh-doanh.html,Giấy đề nghị đăng ký tạm ngừng kinh doanh/tiếp tục kinh doanh trước thời hạn đã đăng ký của hộ kinh doanh,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/giay-de-nghi-dang-ky-thay-doi-nguoi-dai-dien-theo-phap-luat.html,Giấy đề nghị đăng ký thay đổi người đại diện theo pháp luật,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/giay-de-nghi-dang-ky-thay-doi-noi-dung-dang-ky-doanh-nghiep.html,Giấy đề nghị đăng ký thay đổi nội dung Giấy chứng nhận đăng ký doanh nghiệp/Thông báo thay đổi nội dung đăng ký doanh nghiệp,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/giay-de-nghi-dang-ky-thay-doi-noi-dung-dang-ky-ho-kinh-doanh.html,Giấy đề nghị đăng ký thay đổi nội dung đăng ký hộ kinh doanh,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-01-tb-ddkd-theo-thong-tu-18-2026-tt-btc.html,Mẫu thông báo địa điểm kinh doanh theo Thông tư 18/2026,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-02-dang-ky-thue.html,Mẫu 02-ĐK-TCT theo thông tư 86 Tờ khai đăng ký thuế,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-03-dk-tct-to-khai-dang-ky-thue.html,Mẫu tờ khai đăng ký thuế 03-ĐK-TCT theo thông tư 86/2024/TT-BTC,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-04-dk-tct-to-khai-dang-ky-thue-nha-thau.html,Mẫu 04-ĐK-TCT theo Thông tư số 86/2024/TT-BTC đăng ký thuế,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-05-dk-tc-to-khai-dang-ky-thue.html,Mẫu 05-ĐK-TCT Tờ khai đăng ký thuế theo Thông tư 86/2024/TT-BTC,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-20-dk-th-tct-to-khai-tong-hop-nguoi-phu-thuoc.html,Tờ khai đăng ký người phụ thuộc Mẫu 20-ĐK-TH-TCT theo Thông tư 86 mới nhất 2026,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-bang-ke-hang-ton-kho-cua-ho-kinh-doanh.html,Mẫu Bảng kê hàng tồn kho của hộ kinh doanh theo Thông tư 18,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-bao-cao-ket-qua-khuyen-mai.html,Mẫu báo cáo thực hiện khuyến mại - Mẫu số 07 theo NĐ 128,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-bao-cao-ket-qua-thuc-hien-khuyen-mai-km-12.html,Mẫu báo cáo kết quả thực hiện khuyến mại Mẫu số 07,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-cam-ket-khong-phat-sinh-thu-nhap-tai-cong-ty-doanh-nghiep.html,"Mẫu cam kết không phát sinh thu nhập tại công ty, doanh nghiệp",Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-cong-van-dang-ky-thoi-gian-bat-dau-mien-thue-tndn.html,Mẫu công văn đăng ký thời gian bắt đầu miễn thuế TNDN 2026,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
thu-vien/mau-dang-ky-hinh-thuc-ke-toan-va-su-dung-hoa-don-voi-co-quan-thue.html,Mẫu Công văn đăng ký chế độ kế toán mới nhất,Biểu mẫu,mau-bieu-thu-tuc,Mẫu biểu - Thủ tục,mau-bieu-doanh-nghiep-thu-tuc,Mẫu biểu doanh nghiệp - thủ tục,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục
