href,title,source_file,to_topicLv2Key,to_topicLv2Label
thu-vien/bai-bo-le-phi-mon-bai-tu-nam-2026.html,Bãi bỏ lệ phí môn bài từ năm 2026 theo Nghị quyết 198/2025/QH15,bai-bo-le-phi-mon-bai-tu-nam-2026.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/bao-cao-tinh-hinh-su-dung-bien-lai-dien-tu-thu-thue-phi-le-phi.html,"Báo cáo tình hình sử dụng biên lai điện tử thu thuế, phí, lệ phí",bao-cao-tinh-hinh-su-dung-bien-lai-dien-tu-thu-thue-phi-le-phi.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/cac-bac-thue-mon-bai-moi-nhat.html,Các bậc thuế môn bài năm 2025 mới nhất,cac-bac-thue-mon-bai-moi-nhat.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/cach-hach-toan-tien-thue-mon-bai.html,Cách hạch toán lệ phí môn bài phải nộp 2025,cach-hach-toan-tien-thue-mon-bai.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/cach-ke-khai-thue-nha-thau-nuoc-ngoai.html,Hướng dẫn cách kê khai thuế nhà thầu nước ngoài qua mạng,cach-ke-khai-thue-nha-thau-nuoc-ngoai.htm,thue-nha-thau,Thuế nhà thầu
thu-vien/cach-ke-khai-thue-voi-thu-nhap-tu-tien-cho-thue-nha.html,Cách kê khai thuế với thu nhập từ tiền cho thuê nhà,cach-ke-khai-thue-voi-thu-nhap-tu-tien-cho-thue-nha.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
thu-vien/cach-lap-to-khai-thue-mon-bai-mau-01-mbai.html,Cách lập tờ khai Lệ phí môn bài 01/LPMB 2026,cach-lap-to-khai-thue-mon-bai-mau-01-mbai.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/cach-lap-to-khai-thue-nha-thau-mau-01-ntnn.html,Cách lập tờ khai thuế nhà thầu mẫu 01/NTNN,cach-lap-to-khai-thue-nha-thau-mau-01-ntnn.htm,thue-nha-thau,Thuế nhà thầu
thu-vien/cach-nop-thue-le-phi-mon-bai-qua-mang-dien-tu-bang-ma-id.html,Cách nộp tiền thuế lệ phí môn bài 2025 qua mạng điện tử,cach-nop-thue-le-phi-mon-bai-qua-mang-dien-tu-bang-ma-id.htm,le-phi-mon-bai,Lệ phí môn bài
thu-vien/cach-tinh-thue-ho-kinh-doanh-theo-phuong-phap-ke-khai.html,Cách tính thuế hộ kinh doanh theo phương pháp kê khai,cach-tinh-thue-ho-kinh-doanh-theo-phuong-phap-ke-khai.htm,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh
