href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/phan-mem-ho-ke-khai-thue-htkk-3-4-5.html,Phần mềm hỗ kê khai thuế HTKK 3.4.5,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-3x,HTKK 3.x,rule-3x
thu-vien/phan-mem-ho-tro-ke-khai-3-3-5-moi-nhat.html,Phần mềm HTKK 3.3.5 mới nhất ngày 19/02/2016,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-3x,HTKK 3.x,rule-3x
thu-vien/phan-mem-ho-tro-ke-khai-htkk-3-2-5.html,Phần mềm hỗ trợ kê khai HTKK 3.2.5,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-3x,HTKK 3.x,rule-3x
thu-vien/phan-mem-ho-tro-ke-khai-htkk-4-0-8-moi-nhat.html,Phần mềm hỗ trợ kê khai HTKK 4.0.8 mới nhất 2018,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-3-8-4-moi-nhat.html,Phần mềm hỗ trợ kê khai thuế HTKK 3.8.4 mới nhất,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-3x,HTKK 3.x,rule-3x
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-0-7-moi-nhat.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.0.7 mới nhất,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-0-moi-nhat.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.0 mới nhất 2018,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-1-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.1 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-2-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.2 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-3-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.3 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-4-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.4 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-5-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.5 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-6-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.6 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-7-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.7 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-8-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.8 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
thu-vien/phan-mem-ho-tro-ke-khai-thue-htkk-4-1-9-moi-nhat-2019.html,Phần mềm hỗ trợ kê khai thuế HTKK 4.1.9 mới nhất 2019,mau-file-ke-khai,Mẫu file & kê khai,htkk-etax-thue-dien-tu,HTKK - eTax - Thuế điện tử,htkk-40-44,HTKK 4.0–4.4,rule-4044
